Region,Quartile,Without DNSSEC (pub),With Invalid DNSSEC (pub),With Valid DNSSEC (pub),Without DNSSEC (pvt),With Invalid DNSSEC (pvt),With Valid DNSSEC (pvt)
Kansas,1,87.5,0.0,12.5,85.71428571428571,4.761904761904762,9.523809523809524
Louisiana,1,81.25,0.0,18.75,100.0,0.0,0.0
Oklahoma,1,92.85714285714286,0.0,7.142857142857142,91.66666666666666,0.0,8.333333333333332
Colorado,1,92.85714285714286,0.0,7.142857142857142,91.66666666666666,0.0,8.333333333333332
New Mexico,1,85.71428571428571,0.0,14.285714285714285,100.0,0.0,0.0
South Dakota,1,85.71428571428571,0.0,14.285714285714285,100.0,0.0,0.0
Missouri,1,92.3076923076923,0.0,7.6923076923076925,97.67441860465115,0.0,2.3255813953488373
Oregon,1,88.88888888888889,11.11111111111111,0.0,90.0,0.0,10.0
Indiana,1,100.0,0.0,0.0,92.3076923076923,0.0,7.6923076923076925
Maryland,1,92.85714285714286,0.0,7.142857142857142,100.0,0.0,0.0
Nebraska,1,100.0,0.0,0.0,92.85714285714286,0.0,7.142857142857142
Pennsylvania,1,95.23809523809523,0.0,4.761904761904762,96.5909090909091,1.1363636363636365,2.272727272727273
Minnesota,1,100.0,0.0,0.0,93.10344827586206,0.0,6.896551724137931
Massachusetts,2,100.0,0.0,0.0,91.80327868852459,1.639344262295082,6.557377049180328
Texas,2,95.1219512195122,0.0,4.878048780487805,96.96969696969697,1.5151515151515151,1.5151515151515151
Arizona,2,100.0,0.0,0.0,94.11764705882352,0.0,5.88235294117647
California,2,96.875,0.0,3.125,96.99248120300751,0.7518796992481203,2.2556390977443606
South Carolina,2,100.0,0.0,0.0,95.65217391304348,0.0,4.3478260869565215
Ohio,2,100.0,0.0,0.0,96.55172413793103,0.0,3.4482758620689653
Tennessee,2,100.0,0.0,0.0,97.05882352941177,0.0,2.941176470588235
New Jersey,2,100.0,0.0,0.0,97.14285714285714,0.0,2.857142857142857
Georgia,2,100.0,0.0,0.0,97.22222222222221,0.0,2.7777777777777777
New York,2,100.0,0.0,0.0,97.77777777777777,0.0,2.2222222222222223
North Carolina,2,100.0,0.0,0.0,97.87234042553192,0.0,2.127659574468085
Arkansas,2,88.88888888888889,11.11111111111111,0.0,100.0,0.0,0.0
Washington,3,100.0,0.0,0.0,95.45454545454545,4.545454545454546,0.0
Wisconsin,3,100.0,0.0,0.0,95.83333333333334,4.166666666666666,0.0
Iowa,3,100.0,0.0,0.0,96.7741935483871,3.225806451612903,0.0
Michigan,3,100.0,0.0,0.0,96.96969696969697,3.0303030303030303,0.0
North Dakota,3,100.0,0.0,0.0,100.0,0.0,0.0
Rhode Island,3,100.0,0.0,0.0,100.0,0.0,0.0
Utah,3,100.0,0.0,0.0,100.0,0.0,0.0
Vermont,3,100.0,0.0,0.0,100.0,0.0,0.0
Virginia,3,100.0,0.0,0.0,100.0,0.0,0.0
West Virginia,3,100.0,0.0,0.0,100.0,0.0,0.0
New Hampshire,3,100.0,0.0,0.0,100.0,0.0,0.0
Nevada,3,100.0,0.0,0.0,100.0,0.0,0.0
Alabama,4,100.0,0.0,0.0,100.0,0.0,0.0
Montana,4,100.0,0.0,0.0,100.0,0.0,0.0
Alaska,4,100.0,0.0,0.0,100.0,0.0,0.0
Connecticut,4,100.0,0.0,0.0,100.0,0.0,0.0
Delaware,4,100.0,0.0,0.0,100.0,0.0,0.0
District of Columbia,4,100.0,0.0,0.0,100.0,0.0,0.0
Florida,4,100.0,0.0,0.0,100.0,0.0,0.0
Hawaii,4,100.0,0.0,0.0,100.0,0.0,0.0
Idaho,4,100.0,0.0,0.0,100.0,0.0,0.0
Illinois,4,100.0,0.0,0.0,100.0,0.0,0.0
Kentucky,4,100.0,0.0,0.0,100.0,0.0,0.0
Maine,4,100.0,0.0,0.0,100.0,0.0,0.0
Mississippi,4,100.0,0.0,0.0,100.0,0.0,0.0
Wyoming,4,100.0,0.0,0.0,0.0,0.0,0.0
Total,4,97.15808170515098,0.3552397868561279,2.4866785079928952,96.96113074204948,0.6360424028268552,2.402826855123675
