Region,Global #,Without DNSSEC #,Without DNSSEC %,With Invalid DNSSEC #,With Invalid DNSSEC %,With Valid DNSSEC #,With Valid DNSSEC %
Louisiana,16,13,81.25,0,0.0,3,18.75
New Mexico,7,6,85.71428571428571,0,0.0,1,14.285714285714285
South Dakota,7,6,85.71428571428571,0,0.0,1,14.285714285714285
Kansas,8,7,87.5,0,0.0,1,12.5
Oregon,9,8,88.88888888888889,1,11.11111111111111,0,0.0
Arkansas,9,8,88.88888888888889,1,11.11111111111111,0,0.0
Missouri,13,12,92.3076923076923,0,0.0,1,7.6923076923076925
Maryland,14,13,92.85714285714286,0,0.0,1,7.142857142857142
Oklahoma,14,13,92.85714285714286,0,0.0,1,7.142857142857142
Colorado,14,13,92.85714285714286,0,0.0,1,7.142857142857142
Texas,41,39,95.1219512195122,0,0.0,2,4.878048780487805
Pennsylvania,21,20,95.23809523809523,0,0.0,1,4.761904761904762
California,32,31,96.875,0,0.0,1,3.125
New York,40,40,100.0,0,0.0,0,0.0
Ohio,16,16,100.0,0,0.0,0,0.0
New Jersey,13,13,100.0,0,0.0,0,0.0
North Carolina,16,16,100.0,0,0.0,0,0.0
North Dakota,6,6,100.0,0,0.0,0,0.0
Rhode Island,2,2,100.0,0,0.0,0,0.0
South Carolina,13,13,100.0,0,0.0,0,0.0
Tennessee,10,10,100.0,0,0.0,0,0.0
Utah,3,3,100.0,0,0.0,0,0.0
Vermont,3,3,100.0,0,0.0,0,0.0
Virginia,15,15,100.0,0,0.0,0,0.0
Washington,8,8,100.0,0,0.0,0,0.0
West Virginia,10,10,100.0,0,0.0,0,0.0
New Hampshire,5,5,100.0,0,0.0,0,0.0
Nevada,3,3,100.0,0,0.0,0,0.0
Alabama,14,14,100.0,0,0.0,0,0.0
Montana,6,6,100.0,0,0.0,0,0.0
Alaska,3,3,100.0,0,0.0,0,0.0
Arizona,4,4,100.0,0,0.0,0,0.0
Connecticut,11,11,100.0,0,0.0,0,0.0
Delaware,2,2,100.0,0,0.0,0,0.0
District of Columbia,1,1,100.0,0,0.0,0,0.0
Florida,13,13,100.0,0,0.0,0,0.0
Georgia,19,19,100.0,0,0.0,0,0.0
Hawaii,3,3,100.0,0,0.0,0,0.0
Idaho,4,4,100.0,0,0.0,0,0.0
Illinois,12,12,100.0,0,0.0,0,0.0
Indiana,14,14,100.0,0,0.0,0,0.0
Iowa,3,3,100.0,0,0.0,0,0.0
Kentucky,8,8,100.0,0,0.0,0,0.0
Maine,7,7,100.0,0,0.0,0,0.0
Massachusetts,13,13,100.0,0,0.0,0,0.0
Michigan,15,15,100.0,0,0.0,0,0.0
Minnesota,12,12,100.0,0,0.0,0,0.0
Mississippi,8,8,100.0,0,0.0,0,0.0
Wisconsin,15,15,100.0,0,0.0,0,0.0
Nebraska,7,7,100.0,0,0.0,0,0.0
Wyoming,1,1,100.0,0,0.0,0,0.0
Total,563,547,97.15808170515098,2,0.3552397868561279,14,2.4866785079928952
