Region,Quartile,Invalid (pub),HTTP Only (pub),HTTP and HTTPS (pub),HTTP to HTTPS (Same Domain) (pub),HTTP to HTTPS (Other Domain) (pub),HTTPS Only (pub),Invalid (pvt),HTTP Only (pvt),HTTP and HTTPS (pvt),HTTP to HTTPS (Same Domain) (pvt),HTTP to HTTPS (Other Domain) (pvt),HTTPS Only (pvt)
Maryland,1,0.0,0.0,14.285714285714285,78.57142857142857,0.0,7.142857142857142,0.0,0.0,0.0,94.73684210526315,5.263157894736842,0.0
North Carolina,1,0.0,0.0,6.25,87.5,0.0,6.25,0.0,0.0,6.382978723404255,93.61702127659575,0.0,0.0
South Carolina,1,0.0,0.0,7.6923076923076925,92.3076923076923,0.0,0.0,0.0,0.0,4.3478260869565215,91.30434782608695,0.0,4.3478260869565215
California,1,0.0,0.0,3.125,93.75,0.0,3.125,0.7518796992481203,0.0,5.263157894736842,90.97744360902256,3.007518796992481,0.0
Virginia,1,0.0,0.0,6.666666666666667,93.33333333333333,0.0,0.0,0.0,0.0,2.564102564102564,94.87179487179486,0.0,2.564102564102564
Missouri,1,0.0,0.0,7.6923076923076925,92.3076923076923,0.0,0.0,0.0,0.0,2.3255813953488373,95.34883720930233,0.0,2.3255813953488373
New York,1,2.5,0.0,7.5,90.0,0.0,0.0,0.0,0.7407407407407408,14.074074074074074,83.7037037037037,0.7407407407407408,0.7407407407407408
Nevada,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Montana,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Rhode Island,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
South Dakota,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Utah,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Vermont,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Alaska,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Colorado,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Delaware,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
District of Columbia,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Georgia,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Mississippi,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Hawaii,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Kentucky,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Michigan,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Idaho,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Indiana,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.564102564102564,97.43589743589743,0.0,0.0
Iowa,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,96.7741935483871,3.225806451612903,0.0
Massachusetts,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.639344262295082,1.639344262295082,96.72131147540983,0.0,0.0
Pennsylvania,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.1363636363636365,2.272727272727273,96.5909090909091,0.0,0.0
Wisconsin,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.166666666666666,95.83333333333334,0.0,0.0
Kansas,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,95.23809523809523,4.761904761904762,0.0
Oregon,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,95.0,5.0,0.0
New Jersey,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.714285714285714,94.28571428571428,0.0,0.0
Arizona,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.88235294117647,94.11764705882352,0.0,0.0
Connecticut,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.88235294117647,94.11764705882352,0.0,0.0
Florida,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.761904761904762,93.65079365079364,1.5873015873015872,0.0
Minnesota,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.896551724137931,93.10344827586206,0.0,0.0
Nebraska,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,92.85714285714286,7.142857142857142,0.0
West Virginia,3,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Alabama,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.555555555555555,5.555555555555555,88.88888888888889,0.0,0.0
Texas,4,0.0,0.0,2.4390243902439024,95.1219512195122,2.4390243902439024,0.0,1.5151515151515151,0.0,6.0606060606060606,92.42424242424242,0.0,0.0
Oklahoma,4,0.0,0.0,7.142857142857142,92.85714285714286,0.0,0.0,0.0,0.0,8.333333333333332,91.66666666666666,0.0,0.0
Tennessee,4,10.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,8.823529411764707,91.17647058823529,0.0,0.0
New Hampshire,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,22.22222222222222,77.77777777777779,0.0,0.0
Illinois,4,0.0,0.0,16.666666666666664,83.33333333333334,0.0,0.0,1.6129032258064515,0.0,3.225806451612903,93.54838709677419,1.6129032258064515,0.0
Arkansas,4,0.0,11.11111111111111,0.0,88.88888888888889,0.0,0.0,0.0,0.0,7.142857142857142,85.71428571428571,7.142857142857142,0.0
Ohio,4,0.0,0.0,18.75,81.25,0.0,0.0,0.0,0.0,6.896551724137931,93.10344827586206,0.0,0.0
Maine,4,0.0,0.0,14.285714285714285,71.42857142857143,14.285714285714285,0.0,0.0,0.0,0.0,100.0,0.0,0.0
New Mexico,4,0.0,0.0,28.57142857142857,71.42857142857143,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Louisiana,4,6.25,0.0,6.25,87.5,0.0,0.0,0.0,0.0,18.181818181818183,81.81818181818183,0.0,0.0
North Dakota,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0
Washington,4,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,4.545454545454546,86.36363636363636,9.090909090909092,0.0
Wyoming,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,4,0.5328596802841918,0.17761989342806395,4.440497335701599,93.96092362344582,0.3552397868561279,0.5328596802841918,0.21201413427561835,0.2826855123674912,4.80565371024735,93.35689045936397,1.0600706713780919,0.2826855123674912
